param_boosting_type,param_learning_rate,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,rank_test_average_precision_score
gbdt,0.001,24,8,1.0,1.4,0.7,315
gbdt,0.001,24,8,1.0,1.4,0.75,315
gbdt,0.001,24,8,1.0,1.2,0.75,315
gbdt,0.001,24,8,1.2,1.0,0.7,315
gbdt,0.001,24,8,1.2,1.0,0.75,315
dart,0.001,24,8,1.2,1.4,0.75,315
dart,0.005,8,8,1.0,1.0,0.7,315
gbdt,0.001,16,8,1.0,1.0,0.75,315
gbdt,0.001,16,8,1.0,1.2,0.7,315
gbdt,0.001,16,8,1.0,1.4,0.7,315
gbdt,0.001,16,8,1.0,1.4,0.75,315
gbdt,0.001,16,8,1.2,1.0,0.75,315
gbdt,0.001,8,12,1.0,1.0,0.7,397
gbdt,0.001,8,12,1.0,1.0,0.75,397
gbdt,0.001,8,12,1.0,1.2,0.7,399
gbdt,0.001,8,12,1.2,1.2,0.75,399
gbdt,0.001,8,12,1.2,1.4,0.7,399
gbdt,0.001,8,12,1.2,1.4,0.75,399
gbdt,0.001,8,12,1.0,1.2,0.75,399
gbdt,0.001,8,12,1.2,1.0,0.7,399
gbdt,0.001,8,12,1.0,1.4,0.75,399
gbdt,0.001,8,12,1.2,1.0,0.75,399
gbdt,0.001,8,12,1.2,1.2,0.7,399
gbdt,0.001,8,12,1.0,1.4,0.7,399
dart,0.001,8,12,1.0,1.0,0.75,409
dart,0.001,8,12,1.0,1.0,0.7,409
dart,0.001,8,12,1.2,1.0,0.7,411
dart,0.001,8,12,1.2,1.2,0.75,411
dart,0.001,8,12,1.2,1.0,0.75,411
dart,0.001,8,12,1.0,1.2,0.7,411
dart,0.001,8,12,1.0,1.4,0.7,411
dart,0.001,8,12,1.0,1.4,0.75,411
dart,0.001,8,12,1.2,1.2,0.7,411
dart,0.001,8,12,1.0,1.2,0.75,411
dart,0.001,8,12,1.2,1.4,0.7,419
dart,0.001,8,12,1.2,1.4,0.75,419
gbdt,0.01,24,6,1.2,1.0,0.75,421
gbdt,0.01,24,6,1.0,1.4,0.75,421
gbdt,0.01,24,6,1.2,1.4,0.7,421
gbdt,0.01,24,6,1.2,1.2,0.75,421
gbdt,0.01,24,6,1.2,1.0,0.7,421
gbdt,0.01,24,6,1.2,1.2,0.7,421
gbdt,0.01,24,6,1.0,1.4,0.7,421
gbdt,0.01,24,6,1.0,1.2,0.7,421
gbdt,0.01,24,6,1.2,1.4,0.75,421
gbdt,0.01,24,6,1.0,1.0,0.75,421
gbdt,0.01,24,6,1.0,1.0,0.7,421
gbdt,0.01,24,6,1.0,1.2,0.75,421
gbdt,0.01,16,6,1.2,1.2,0.75,433
gbdt,0.01,16,6,1.2,1.4,0.75,433
gbdt,0.01,16,6,1.2,1.4,0.7,433
gbdt,0.01,16,6,1.0,1.2,0.7,433
gbdt,0.01,16,6,1.2,1.0,0.75,433
gbdt,0.01,16,6,1.2,1.2,0.7,433
gbdt,0.01,16,6,1.0,1.4,0.75,433
gbdt,0.01,16,6,1.2,1.0,0.7,433
gbdt,0.01,16,6,1.0,1.4,0.7,433
gbdt,0.01,16,6,1.0,1.2,0.75,433
gbdt,0.01,16,6,1.0,1.0,0.75,433
gbdt,0.01,16,6,1.0,1.0,0.7,433
dart,0.01,24,6,1.0,1.0,0.7,445
dart,0.01,24,6,1.0,1.0,0.75,445
dart,0.01,24,6,1.0,1.2,0.75,445
dart,0.01,24,6,1.0,1.4,0.7,445
dart,0.01,24,6,1.0,1.2,0.7,445
dart,0.01,24,6,1.2,1.0,0.7,445
dart,0.01,24,6,1.2,1.0,0.75,445
dart,0.01,24,6,1.2,1.2,0.7,445
dart,0.01,24,6,1.2,1.2,0.75,445
dart,0.01,24,6,1.0,1.4,0.75,445
dart,0.01,24,6,1.2,1.4,0.7,455
dart,0.01,24,6,1.2,1.4,0.75,455
dart,0.01,16,6,1.0,1.4,0.7,457
dart,0.01,16,6,1.0,1.4,0.75,457
dart,0.01,16,6,1.2,1.4,0.75,457
dart,0.01,16,6,1.2,1.4,0.7,457
dart,0.01,16,6,1.2,1.2,0.75,457
dart,0.01,16,6,1.2,1.2,0.7,457
dart,0.01,16,6,1.0,1.2,0.75,463
dart,0.01,16,6,1.0,1.2,0.7,463
dart,0.01,16,6,1.0,1.0,0.75,463
dart,0.01,16,6,1.2,1.0,0.75,463
dart,0.01,16,6,1.2,1.0,0.7,463
dart,0.01,16,6,1.0,1.0,0.7,463
gbdt,0.005,24,6,1.2,1.4,0.7,469
gbdt,0.005,24,6,1.0,1.2,0.75,469
gbdt,0.005,24,6,1.0,1.0,0.7,469
gbdt,0.005,24,6,1.0,1.4,0.75,469
gbdt,0.005,24,6,1.2,1.0,0.7,469
gbdt,0.005,24,6,1.2,1.0,0.75,469
gbdt,0.005,24,6,1.0,1.0,0.75,469
gbdt,0.005,24,6,1.2,1.2,0.75,469
gbdt,0.005,24,6,1.2,1.4,0.75,469
gbdt,0.005,24,6,1.0,1.2,0.7,469
gbdt,0.005,24,6,1.0,1.4,0.7,469
gbdt,0.005,24,6,1.2,1.2,0.7,469
gbdt,0.005,16,6,1.2,1.4,0.75,481
gbdt,0.01,8,6,1.2,1.4,0.75,481
dart,0.005,16,6,1.2,1.4,0.7,481
dart,0.005,16,6,1.0,1.4,0.7,481
dart,0.005,16,6,1.0,1.4,0.75,481
dart,0.005,16,6,1.2,1.0,0.7,481
dart,0.005,16,6,1.2,1.0,0.75,481
dart,0.005,16,6,1.2,1.2,0.7,481
dart,0.005,16,6,1.2,1.2,0.75,481
dart,0.005,16,6,1.2,1.4,0.75,481
gbdt,0.005,16,6,1.2,1.4,0.7,481
gbdt,0.01,8,6,1.0,1.0,0.75,481
gbdt,0.01,8,6,1.0,1.2,0.75,481
gbdt,0.01,8,6,1.0,1.4,0.7,481
gbdt,0.01,8,6,1.0,1.4,0.75,481
gbdt,0.01,8,6,1.2,1.0,0.7,481
gbdt,0.01,8,6,1.2,1.2,0.7,481
gbdt,0.01,8,6,1.2,1.2,0.75,481
gbdt,0.01,8,6,1.2,1.4,0.7,481
gbdt,0.01,8,6,1.0,1.2,0.7,481
gbdt,0.01,8,6,1.0,1.0,0.7,481
gbdt,0.01,8,6,1.2,1.0,0.75,481
gbdt,0.005,16,6,1.2,1.2,0.75,481
gbdt,0.005,16,6,1.0,1.0,0.75,481
gbdt,0.005,16,6,1.0,1.0,0.7,481
dart,0.005,24,6,1.2,1.2,0.7,481
dart,0.005,24,6,1.2,1.0,0.75,481
dart,0.005,24,6,1.2,1.0,0.7,481
dart,0.005,24,6,1.0,1.4,0.7,481
dart,0.005,24,6,1.0,1.2,0.75,481
dart,0.005,24,6,1.0,1.2,0.7,481
dart,0.005,24,6,1.0,1.0,0.75,481
dart,0.005,24,6,1.2,1.2,0.75,481
dart,0.005,24,6,1.2,1.4,0.75,481
dart,0.005,24,6,1.0,1.4,0.75,481
gbdt,0.005,16,6,1.0,1.2,0.7,481
dart,0.005,24,6,1.2,1.4,0.7,481
gbdt,0.005,16,6,1.0,1.4,0.7,481
gbdt,0.005,16,6,1.0,1.4,0.75,481
gbdt,0.005,16,6,1.0,1.2,0.75,481
gbdt,0.005,16,6,1.2,1.0,0.75,481
gbdt,0.005,16,6,1.2,1.2,0.7,481
dart,0.005,24,6,1.0,1.0,0.7,481
gbdt,0.005,16,6,1.2,1.0,0.7,481
